Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753615129,100,,Aggregated,1.200000,1.200000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1460,1347,5700.0,12104.50138630032,11.201874993275851,150862.15529200854,3245.6068493150683
1753615130,100,,Aggregated,1.200000,1.200000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1463,1349,5700.0,12176.354027027008,11.201874993275851,150862.15529200854,3240.775803144224
1753615131,100,,Aggregated,1.100000,1.100000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1464,1350,5700.0,12168.044824737379,11.201874993275851,150862.15529200854,3238.625683060109
1753615132,100,,Aggregated,1.100000,1.100000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1466,1351,5700.0,12238.860531576072,11.201874993275851,150862.15529200854,3276.18758526603
1753615133,100,,Aggregated,1.200000,1.100000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1469,1354,5700.0,12218.250226002374,11.201874993275851,150862.15529200854,3270.5867937372363
1753615134,100,,Aggregated,1.300000,1.200000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1472,1357,5700.0,12202.781645209547,11.201874993275851,150862.15529200854,3265.906929347826
1753615135,100,,Aggregated,1.300000,1.100000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1473,1358,5700.0,12199.407005514906,11.201874993275851,150862.15529200854,3264.6503733876443
1753615136,100,,Aggregated,1.600000,1.400000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1475,1360,5700.0,12188.080844914199,11.201874993275851,150862.15529200854,3261.246101694915
1753615137,100,,Aggregated,1.800000,1.600000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1477,1362,5700.0,12176.297403378081,11.201874993275851,150862.15529200854,3257.853757616791
1753615138,100,,Aggregated,1.800000,1.600000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1478,1363,5700.0,12171.565736635606,11.201874993275851,150862.15529200854,3256.606901217862
1753615139,100,,Aggregated,2.000000,1.800000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1479,1364,5700.0,12163.345361081423,11.201874993275851,150862.15529200854,3254.467883705206
1753615140,100,,Aggregated,1.900000,1.700000,5700,6700,7300,7900,9900,117000,133000,136000,150000,151000,151000,1481,1366,5700.0,12151.0741579429,11.201874993275851,150862.15529200854,3251.0911546252532
1753615141,100,,Aggregated,1.900000,1.700000,5700,6700,7300,7900,9900,117000,133000,136000,150000,151000,151000,1483,1368,5700.0,12143.341436696832,11.201874993275851,150862.15529200854,3248.6149696561024
1753615142,100,,Aggregated,1.900000,1.700000,5700,6700,7300,7900,9900,117000,133000,136000,150000,151000,151000,1487,1372,5700.0,12124.12744011731,11.201874993275851,150862.15529200854,3242.79354404842
1753615143,100,,Aggregated,1.900000,1.700000,5800,6700,7300,7900,9900,117000,133000,136000,150000,151000,151000,1489,1374,5800.0,12116.251486733669,11.201874993275851,150862.15529200854,3240.3384822028206
1753615144,100,,Aggregated,2.000000,1.900000,5800,6700,7300,7900,9900,117000,133000,136000,150000,151000,151000,1490,1375,5800.0,12112.185832967414,11.201874993275851,150862.15529200854,3239.113422818792
1753615145,100,,Aggregated,2.300000,2.300000,5800,6700,7300,7900,9900,117000,133000,136000,150000,151000,151000,1491,1376,5800.0,12104.072911913781,11.201874993275851,150862.15529200854,3237.0033534540576
1753615146,100,,Aggregated,1.900000,1.900000,5800,6700,7300,7900,9900,121000,133000,136000,150000,151000,151000,1493,1377,5800.0,12179.903188962791,11.201874993275851,150862.15529200854,3274.773610180844
1753615147,100,,Aggregated,1.800000,1.800000,5800,6700,7300,7900,10000,123000,133000,136000,150000,151000,151000,1495,1378,5800.0,12256.701931184889,11.201874993275851,150862.15529200854,3271.835451505017
1753615148,100,,Aggregated,1.800000,1.800000,5700,6700,7300,7900,10000,123000,133000,136000,150000,151000,151000,1497,1380,5700.0,12246.915095772474,11.201874993275851,150862.15529200854,3269.3547094188375
1753615149,100,,Aggregated,1.800000,1.600000,5700,6700,7300,7900,9900,121000,133000,136000,150000,151000,151000,1501,1384,5700.0,12219.610138572576,11.201874993275851,150862.15529200854,3262.651565622918
1753615150,100,,Aggregated,1.800000,1.600000,5700,6700,7300,7900,9900,121000,133000,136000,150000,151000,151000,1504,1387,5700.0,12205.110492961045,11.201874993275851,150862.15529200854,3258.966090425532
1753615151,100,,Aggregated,2.000000,1.800000,5700,6700,7300,7900,9900,121000,133000,136000,150000,151000,151000,1507,1390,5700.0,12187.066873837022,11.201874993275851,150862.15529200854,3254.4180491041807
1753615152,100,,Aggregated,2.200000,2.000000,5700,6700,7300,7900,9900,121000,133000,136000,150000,151000,151000,1508,1391,5700.0,12179.048747345763,11.201874993275851,150862.15529200854,3252.321618037135
