test,model,batch_size,floating_point,concurrency,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait
gama,gemma3,1,bf16,1:64:8,128,49,0.654315,79,944,61425043,84,12229335,99,0,73362064,84249142,85587959,86419481,79,73655496
gama,gemma3,1,bf16,1:64:8,128,9,0.654315,55,902,2723949,46,10990644,100,0,13744706,13765722,14659608,14669929,55,13715634
gama,gemma3,1,bf16,1:64:8,128,57,0.654315,66,910,73471945,103,12248401,99,0,85557624,97201800,98029569,98637582,66,85721452
gama,gemma3,1,bf16,1:64:8,128,25,0.655858,59,939,25692172,63,11722448,112,0,38193720,39057601,39073816,39151350,59,37415724
gama,gemma3,1,bf16,1:64:8,128,17,0.658938,53,910,15106535,59,10619006,104,0,25963199,29446096,32390203,35083636,53,25726606
gama,gemma3,1,bf16,1:64:8,128,33,0.668202,60,948,37088475,96,12156575,115,0,48907705,59671713,61136239,62000196,60,49246200
gama,gemma3,8,bf16,1:64:8,128,9,4.55551,53,756,13842861,21,1753099,42,0,15698674,15721553,16801482,16837356,53,15596771
gama,gemma3,8,bf16,1:64:8,128,1,4.55551,47,743,276,19,1755017,42,0,1747221,1750473,1751232,1753081,47,1756092
gama,gemma3,8,bf16,1:64:8,128,49,4.55552,58,776,82493900,21,1753725,41,0,85553208,86565965,86600873,86655461,58,84248455
gama,gemma3,8,bf16,1:64:8,128,33,4.55552,57,783,55046534,19,1753876,44,0,57607225,58695599,58714960,58757937,57,56801247
gama,gemma3,8,bf16,1:64:8,128,57,4.5678,106,800,96197357,20,1753338,41,0,99496139,100565992,100582506,100624661,106,97951549
gama,gemma3,8,bf16,1:64:8,128,17,4.56785,59,811,27543454,22,1753091,43,0,29655425,30726567,30766389,30794576,59,29297412
gama,gemma3,8,bf16,1:64:8,128,25,4.56786,53,785,41296327,20,1753803,43,0,43630889,44731800,44751572,44785706,53,43050972
gama,gemma3,8,bf16,1:64:8,128,41,4.56787,57,782,68752098,21,1753469,43,0,71547369,72667927,72693540,72715700,57,70506405
gama,mistral,1,bf16,1:64:8,128,1,0.385798,50,778,275,17,2594549,36,0,2558107,2738186,2748564,2760549,50,2595651
gama,mistral,1,bf16,1:64:8,128,25,2.00153,52,686,783191,25,11470763,62,0,8167868,31543368,32088204,34677063,52,12254720
gama,mistral,1,bf16,1:64:8,128,33,2.00924,53,862,942734,30,15386755,68,0,10892132,32070939,32710040,34501791,53,16330441
gama,mistral,1,bf16,1:64:8,128,57,2.01078,59,890,2958587,46,25142123,101,0,28368524,36790390,38894229,42142680,59,28101740
gama,mistral,1,bf16,1:64:8,128,17,2.0154,50,820,640204,19,7874524,47,0,5122158,23907103,24230325,26411180,50,8515609
gama,mistral,1,bf16,1:64:8,128,49,2.01541,64,864,1860509,39,22418045,89,0,23947198,32946681,34609291,35630421,64,24279539
gama,mistral,1,bf16,1:64:8,128,41,2.01695,54,879,1476737,34,18881740,77,0,20092220,32747808,34294883,35250966,54,20359461
gama,mistral,1,bf16,1:64:8,128,9,2.02466,48,790,493129,14,3951987,36,0,4069860,5826383,5982697,6156101,48,4445952
gama,mistral,8,bf16,1:64:8,128,1,3.01232,52,824,286,21,2650787,42,0,2638486,2823006,2867296,2938757,52,2651951
gama,mistral,8,bf16,1:64:8,128,49,14.2962,56,864,22790716,14,4483794,38,0,27257710,28431428,28679596,29140078,56,27275418
gama,mistral,8,bf16,1:64:8,128,57,14.333,62,826,27141456,14,4463247,39,0,31599083,32704456,32911042,33232301,62,31605573
gama,mistral,8,bf16,1:64:8,128,41,14.3579,55,809,18223661,15,4449418,38,0,22575394,23835225,24001342,24272258,55,22673932
gama,mistral,8,bf16,1:64:8,128,9,14.3949,51,818,551297,15,4437743,38,0,4550936,6608578,6913096,7214932,51,4989904
gama,mistral,8,bf16,1:64:8,128,17,14.4566,51,851,4929203,15,4419847,38,0,9011105,10795538,10947681,11140713,51,9349946
gama,mistral,8,bf16,1:64:8,128,33,14.4813,55,811,13710608,14,4422352,38,0,18011289,19317121,19514649,19729854,55,18133816
gama,mistral,8,bf16,1:64:8,128,25,14.5184,52,831,9286331,15,4409798,38,0,13510790,15049080,15233236,15437725,52,13697006
gama,meta-llama,1,bf16,1:64:8,128,1,0.374996,52,808,281,18,2665655,39,0,2672891,2710819,2715301,2754486,52,2666796
gama,meta-llama,1,bf16,1:64:8,128,9,1.33177,52,844,276,21,6721944,44,0,3980717,14928147,15308027,15626298,52,6723124
gama,meta-llama,1,bf16,1:64:8,128,49,1.61109,69,868,2459466,50,27200169,97,0,29627338,40944419,42932547,43669896,69,29660644
gama,meta-llama,1,bf16,1:64:8,128,33,1.62035,56,844,1636734,32,18410186,70,0,14065178,39510276,40834913,42175259,56,20047859
gama,meta-llama,1,bf16,1:64:8,128,17,1.62653,55,820,644283,21,9757824,49,0,6932021,24400990,25327697,31619620,55,10402992
gama,meta-llama,1,bf16,1:64:8,128,25,1.63115,53,809,1188063,25,14145557,59,0,11534960,34360378,35627018,37113606,53,15334506
gama,meta-llama,1,bf16,1:64:8,128,41,1.65277,58,865,1896632,37,23138695,85,0,25900625,40129989,41260931,44102555,58,25036308
gama,meta-llama,1,bf16,1:64:8,128,57,1.65585,64,837,3524481,52,31040361,107,0,34813978,42857092,44522887,48742211,64,34565830
gama,meta-llama,8,bf16,1:64:8,128,1,2.93825,54,833,259,21,2717429,42,0,2690606,2818971,2872911,2914693,54,2718577
gama,meta-llama,8,bf16,1:64:8,128,41,11.432,56,772,22871910,15,5598903,41,0,28670011,29398433,29630518,29907964,56,28471634
gama,meta-llama,8,bf16,1:64:8,128,49,11.4567,68,827,28352429,15,5584297,40,0,34152128,35022194,35232573,35628306,68,33937599
gama,meta-llama,8,bf16,1:64:8,128,17,11.4567,54,841,6199442,15,5586740,40,0,11729491,12784718,13264040,13645432,54,11787070
gama,meta-llama,8,bf16,1:64:8,128,9,11.469,53,831,690455,15,5552019,39,0,5830869,8413786,8867678,9171976,53,6243350
gama,meta-llama,8,bf16,1:64:8,128,33,11.4814,55,831,17244088,14,5575190,40,0,22901254,23749633,24107979,24497984,55,22820156
gama,meta-llama,8,bf16,1:64:8,128,25,11.4814,53,824,11724900,14,5576566,40,0,17370670,18213045,18394864,18755725,53,17302339
gama,meta-llama,8,bf16,1:64:8,128,57,11.506,59,869,33729227,14,5561148,39,0,39487675,40475159,40686353,41125181,59,39291288
delta,gemma3,8,bf16,1:128:16,256,49,4.72835,97,815,78175657,15,1689550,40,0,82865234,82926129,82945640,83005564,97,79866067
delta,gemma3,8,bf16,1:128:16,256,113,4.74062,322,815,181336812,24,1684445,42,0,190207901,190610104,190633133,190660489,322,183022130
delta,gemma3,8,bf16,1:128:16,256,97,4.74064,72,1158,155764187,20,1686358,41,0,163534784,163971635,163980502,164012220,72,157451755
delta,gemma3,8,bf16,1:128:16,256,65,4.74069,79,831,103994410,14,1687099,39,0,109696595,109814844,109820474,109842098,79,105682382
delta,gemma3,8,bf16,1:128:16,256,81,4.7407,82,813,129976665,20,1689798,42,0,136745431,137246348,137260362,137280812,82,131667330
delta,gemma3,8,bf16,1:128:16,256,1,4.77773,50,812,261,17,1675297,37,0,1671140,1674459,1675107,2196721,50,1676417
delta,gemma3,8,bf16,1:128:16,256,17,4.79009,61,780,26091103,22,1668568,39,0,28268541,28731452,28760003,28785845,61,27760503
delta,gemma3,8,bf16,1:128:16,256,33,4.80242,60,828,51664077,21,1668251,41,0,54897523,55351201,55373734,55411670,60,53333209
delta,meta-llama,8,bf16,1:128:16,256,1,2.98762,55,781,271,17,2677989,38,0,2672477,2730204,2750173,2788250,55,2679090
delta,meta-llama,8,bf16,1:128:16,256,17,11.1727,58,823,6364488,15,5714546,38,0,11683506,15054739,15387345,16071811,58,12079902
delta,meta-llama,8,bf16,1:128:16,256,33,11.1851,58,821,17536644,14,5702004,37,0,23158318,25960552,26564058,27187060,58,23239513
delta,meta-llama,8,bf16,1:128:16,256,81,11.2468,63,847,51026702,15,5696516,39,0,57462469,58690198,59286238,60285989,63,56724109
delta,meta-llama,8,bf16,1:128:16,256,49,11.2591,61,788,28581648,15,5685825,37,0,34616907,36291460,36763266,37477678,61,34268305
